Transaction_ID,Customer_ID,Transaction_Amount,Transaction_Time_Hour,Location,Card_Type,Fraud_Flag
68,1600,48917,0,Delhi,Debit,0
69,3363,51078,22,Chennai,Debit,0
70,3061,60151,1,Delhi,Credit,0
71,1241,27250,1,Mumbai,Debit,0
72,3041,95157,20,Delhi,Credit,0
73,3824,88124,4,Delhi,Credit,0
74,4417,61515,3,Delhi,Debit,0
75,3612,86486,11,Bangalore,Credit,0
76,3945,87942,2,Chennai,Debit,0
77,2363,88609,19,Mumbai,Credit,0
78,3139,39198,9,Hyderabad,Credit,0
79,2390,82978,19,Mumbai,Credit,0
80,4003,20748,17,Mumbai,Debit,0
81,2478,42520,20,Bangalore,Credit,0
82,4499,92121,20,Bangalore,Credit,0
83,3556,51710,20,Delhi,Debit,0
84,1775,53960,9,Mumbai,Credit,0
85,1034,35500,0,Chennai,Credit,0
86,3253,56513,5,Bangalore,Debit,0
87,4152,33807,10,Bangalore,Debit,0
88,2955,78062,1,Chennai,Debit,0
89,2585,70297,6,Bangalore,Credit,0
90,4943,72065,19,Chennai,Credit,0
91,4459,31440,20,Hyderabad,Credit,0
92,4073,56166,20,Chennai,Credit,0
93,2021,13211,20,Hyderabad,Credit,0
94,4461,32202,17,Delhi,Debit,0
95,3613,80221,20,Delhi,Credit,0
96,2129,95883,18,Bangalore,Debit,0
97,4843,20886,3,Chennai,Credit,0
98,4893,90417,12,Bangalore,Credit,0
99,2500,66593,17,Chennai,Debit,0
100,1702,55698,19,Bangalore,Credit,1
101,3449,26381,23,Delhi,Credit,0
102,3777,10813,12,Delhi,Debit,0
103,2579,69494,18,Bangalore,Debit,0
104,1161,93159,16,Chennai,Credit,0
105,1201,19237,0,Mumbai,Debit,0
106,2981,12007,5,Chennai,Credit,0
107,1995,4429,18,Bangalore,Debit,0
108,3317,28009,19,Chennai,Credit,0
109,4934,82068,0,Hyderabad,Debit,0
110,1815,27155,7,Chennai,Debit,0
111,4342,927,16,Delhi,Credit,0
112,1455,48403,20,Delhi,Debit,0
113,4533,83838,21,Hyderabad,Debit,0
114,4798,96920,14,Chennai,Debit,1
115,2275,84635,17,Mumbai,Credit,1
116,2016,83358,6,Chennai,Debit,0
117,4773,51617,15,Delhi,Debit,0
118,3343,57963,6,Delhi,Debit,0
119,4796,2687,16,Bangalore,Credit,0
120,3767,72828,3,Delhi,Credit,0
121,4820,42075,11,Bangalore,Debit,0
122,1337,99558,12,Delhi,Credit,0
123,1878,82514,3,Delhi,Debit,0
124,2076,28792,20,Mumbai,Credit,0
125,1791,11881,0,Bangalore,Debit,0
126,4993,85142,0,Bangalore,Credit,0
127,3264,90929,6,Delhi,Debit,0
128,1763,88420,8,Bangalore,Debit,0
129,3235,46812,0,Delhi,Credit,0
130,1379,99008,15,Delhi,Debit,0
131,1492,88791,17,Chennai,Debit,0
132,4112,18880,21,Bangalore,Debit,0
133,2180,55094,14,Hyderabad,Credit,0
134,3062,73998,5,Bangalore,Debit,1
135,4884,69252,1,Bangalore,Debit,1
136,1064,37095,8,Mumbai,Debit,0
137,4928,86372,3,Hyderabad,Credit,0
138,4910,71101,12,Hyderabad,Debit,1
139,3568,26677,22,Mumbai,Credit,0
140,2367,15248,21,Mumbai,Debit,0
141,2152,69571,10,Bangalore,Credit,0
142,3027,29525,12,Chennai,Credit,1
143,3695,19453,10,Mumbai,Credit,0
144,2495,3731,18,Hyderabad,Debit,0
145,4134,91605,7,Hyderabad,Credit,0
146,2162,93172,6,Bangalore,Credit,0
147,2522,42342,15,Chennai,Credit,0
148,3640,5679,2,Delhi,Credit,1
149,1391,93296,16,Mumbai,Credit,0
150,2698,95914,17,Mumbai,Credit,0
151,1418,77864,14,Bangalore,Credit,1
152,3336,8467,16,Chennai,Credit,0
153,1378,34815,10,Hyderabad,Credit,0
154,2796,74549,4,Hyderabad,Debit,0
155,4561,56624,15,Delhi,Credit,0
156,3278,90595,14,Hyderabad,Credit,0
157,4065,27725,9,Mumbai,Credit,1
158,3088,72317,13,Delhi,Credit,0
159,4099,40613,1,Chennai,Credit,0
160,3182,11382,15,Delhi,Credit,0
161,1200,19227,18,Chennai,Credit,0
162,2863,89304,7,Hyderabad,Debit,0
163,1779,68497,14,Bangalore,Debit,0
164,3977,57154,9,Delhi,Debit,0
165,4104,84385,4,Delhi,Credit,0
166,4119,80780,19,Mumbai,Credit,0
167,1502,5001,15,Mumbai,Debit,0
168,3454,28383,20,Chennai,Debit,0
169,4645,21723,21,Bangalore,Credit,0
170,2751,40920,11,Mumbai,Credit,0
171,1804,71151,22,Mumbai,Debit,0
172,3146,22871,12,Hyderabad,Debit,0
173,3731,25544,8,Hyderabad,Debit,0
174,2895,99527,16,Mumbai,Debit,0
175,3773,74210,19,Chennai,Credit,0
176,2570,885,11,Bangalore,Debit,0
177,1960,18696,4,Mumbai,Debit,0
178,4810,77410,23,Chennai,Credit,0
179,3660,37385,11,Chennai,Debit,0
180,2485,69401,0,Mumbai,Debit,0
181,3690,2479,19,Chennai,Debit,0
182,4840,42000,15,Delhi,Credit,0
183,2028,60704,11,Chennai,Credit,0
184,4289,68193,8,Mumbai,Debit,0
185,1502,91236,12,Chennai,Credit,0
186,3814,97939,16,Mumbai,Credit,0
187,1397,77577,16,Hyderabad,Debit,0
188,1870,86754,3,Mumbai,Credit,0
189,3842,31149,13,Chennai,Debit,0
190,1392,39435,18,Mumbai,Credit,0
191,1206,35969,6,Bangalore,Debit,0
192,2038,97002,2,Mumbai,Credit,0
193,2881,60832,0,Mumbai,Credit,0
194,4625,71166,11,Bangalore,Debit,0
195,3939,72640,14,Bangalore,Debit,0
196,2484,89676,10,Bangalore,Debit,0
197,4762,40437,9,Delhi,Debit,0
198,4646,15873,1,Mumbai,Credit,0
199,1863,46065,3,Bangalore,Credit,0
200,3790,15389,16,Bangalore,Debit,0
201,4312,3541,16,Hyderabad,Credit,0
202,1563,756,7,Delhi,Debit,0
203,2020,97543,22,Mumbai,Credit,0
204,1095,15778,13,Chennai,Debit,0
205,2923,7047,23,Delhi,Credit,0
206,2757,60458,3,Delhi,Debit,0
207,3532,58147,5,Hyderabad,Credit,0
208,4478,38573,18,Mumbai,Credit,0
209,3278,25213,23,Mumbai,Debit,0
210,3796,17768,3,Bangalore,Credit,0
211,2678,87558,2,Bangalore,Credit,0
212,4242,83817,19,Delhi,Debit,0
213,1540,39669,5,Hyderabad,Debit,0
214,2059,12176,22,Mumbai,Debit,0
215,3572,89181,6,Hyderabad,Debit,0
216,2183,64976,13,Chennai,Credit,0
217,4910,40683,11,Mumbai,Debit,0
218,2722,77704,15,Bangalore,Debit,0
219,4314,3367,19,Delhi,Debit,0
220,4157,45030,7,Hyderabad,Credit,0
221,2819,44165,22,Bangalore,Credit,0
222,3625,61696,1,Delhi,Credit,0
223,3729,43208,12,Bangalore,Credit,0
224,3604,56013,7,Mumbai,Debit,0
225,2597,47681,20,Hyderabad,Credit,0
226,4060,49366,19,Chennai,Credit,0
227,3693,59392,15,Bangalore,Debit,0
228,1795,15554,3,Hyderabad,Debit,1
229,2051,68643,15,Mumbai,Credit,0
230,2643,26710,19,Bangalore,Debit,0
231,4627,37246,5,Mumbai,Credit,0
232,2363,65988,3,Chennai,Credit,0
233,4869,8655,15,Chennai,Credit,0
234,2981,57438,22,Delhi,Debit,0
235,2354,81347,22,Delhi,Debit,0
236,2663,55551,20,Delhi,Credit,0
237,2529,53359,12,Mumbai,Credit,1
238,3038,27093,4,Delhi,Debit,0
239,4419,33685,14,Hyderabad,Credit,0
240,2496,79365,7,Mumbai,Debit,0
241,4302,80741,6,Mumbai,Debit,0
242,3237,33182,13,Delhi,Debit,0
243,4296,89437,6,Delhi,Debit,0
244,2408,15416,21,Mumbai,Credit,0
245,2400,93994,6,Chennai,Debit,0
246,2306,72157,22,Chennai,Debit,0
247,3680,62630,17,Delhi,Debit,0
248,3675,57939,9,Chennai,Credit,0
249,1972,79603,17,Hyderabad,Credit,0
250,2768,39286,13,Hyderabad,Credit,1
251,2282,4200,9,Hyderabad,Credit,0
252,4430,19473,6,Mumbai,Credit,0
253,1709,4187,6,Mumbai,Debit,1
254,2479,30042,6,Mumbai,Credit,0
255,2434,94488,4,Mumbai,Credit,0
256,1648,44971,0,Mumbai,Debit,0
257,1317,79419,13,Delhi,Credit,0
258,4748,66967,17,Chennai,Credit,0
259,4296,73740,12,Delhi,Debit,0
260,4890,34285,7,Chennai,Credit,0
261,2257,79025,7,Delhi,Credit,0
262,1683,19172,9,Hyderabad,Debit,0
263,1663,24006,16,Bangalore,Credit,0
264,2998,63929,5,Mumbai,Credit,0
265,4898,58610,14,Bangalore,Debit,0
266,4445,82850,14,Bangalore,Credit,0
267,4743,68735,15,Hyderabad,Credit,0
268,2631,24710,7,Bangalore,Credit,0
269,2495,86114,18,Bangalore,Credit,0
270,4304,1218,19,Hyderabad,Credit,0
271,4763,45174,14,Chennai,Debit,0
272,2136,35947,2,Delhi,Credit,0
273,2853,15082,5,Bangalore,Debit,0
274,2520,52847,7,Mumbai,Credit,0
275,3489,35344,15,Hyderabad,Credit,0
276,1563,43877,14,Bangalore,Debit,0
277,2291,3566,12,Chennai,Debit,0
278,4581,19801,19,Chennai,Debit,0
279,4878,30423,14,Mumbai,Credit,0
280,4457,30320,17,Bangalore,Credit,0
281,4458,10436,12,Mumbai,Debit,0
282,4184,64867,23,Chennai,Credit,1
283,2636,65234,7,Chennai,Credit,0
284,4696,79743,13,Delhi,Credit,0
285,3999,37929,10,Chennai,Credit,0
286,4152,49647,5,Hyderabad,Credit,0
287,1698,39182,23,Delhi,Debit,0
288,3160,3676,0,Mumbai,Credit,0
289,1001,85986,1,Chennai,Debit,0
290,1641,81565,12,Hyderabad,Credit,0
291,3267,77115,0,Delhi,Credit,0
292,2589,55440,23,Hyderabad,Credit,1
293,1854,16695,23,Delhi,Credit,0
294,2759,92010,3,Delhi,Debit,0
295,4296,54194,23,Delhi,Credit,0
296,3432,13432,22,Mumbai,Credit,0
297,4474,4075,1,Delhi,Debit,0
298,2661,43276,20,Delhi,Credit,0
299,2153,79430,19,Hyderabad,Credit,0
300,2076,69761,15,Delhi,Credit,0
301,2707,96105,2,Mumbai,Debit,0
302,3777,74760,16,Hyderabad,Credit,0
303,2695,3493,4,Delhi,Debit,0
304,2733,21445,7,Hyderabad,Debit,0
305,2439,10775,11,Mumbai,Credit,0
306,3294,33511,22,Hyderabad,Credit,0
307,1835,41165,11,Mumbai,Credit,0
308,4510,96937,0,Chennai,Credit,0
309,1202,83782,0,Delhi,Debit,0
310,4255,79840,14,Mumbai,Credit,0
311,1122,79607,16,Delhi,Credit,0
312,1400,71310,1,Mumbai,Credit,0
313,1766,28740,16,Bangalore,Debit,0
314,1293,1457,19,Bangalore,Credit,0
315,3327,73618,8,Bangalore,Credit,0
316,4908,58610,11,Mumbai,Credit,0
317,3931,47390,3,Delhi,Credit,1
318,4681,17844,12,Bangalore,Credit,0
319,1197,19931,3,Delhi,Credit,0
320,4029,86342,6,Mumbai,Credit,0
321,2930,95002,13,Delhi,Debit,1
322,4582,49753,8,Delhi,Debit,0
323,3799,44404,22,Bangalore,Credit,1
324,3191,91338,0,Hyderabad,Credit,0
325,1608,78512,0,Chennai,Credit,1
326,4272,99351,19,Mumbai,Debit,0
327,2147,14440,3,Mumbai,Credit,0
328,1186,87525,0,Mumbai,Credit,0
329,4397,27357,21,Chennai,Debit,0
330,3511,96414,9,Hyderabad,Debit,0
331,4420,94099,1,Delhi,Credit,0
332,2794,24552,20,Mumbai,Credit,0
333,1659,95649,23,Delhi,Debit,0
334,3811,22536,14,Bangalore,Debit,0
335,4002,38308,2,Bangalore,Debit,0
336,2955,57766,22,Bangalore,Debit,0
337,3450,97278,8,Mumbai,Credit,0
338,2369,81544,16,Chennai,Credit,0
339,2986,82818,20,Mumbai,Debit,0
340,2534,10798,12,Bangalore,Credit,0
341,1146,62835,2,Bangalore,Credit,0
342,4219,76100,3,Mumbai,Debit,1
343,3911,22788,3,Chennai,Debit,0
344,2734,74281,10,Chennai,Debit,0
345,2843,73656,6,Delhi,Credit,0
346,1488,93351,10,Hyderabad,Credit,0
347,3976,41712,23,Bangalore,Credit,0
348,2959,96347,10,Chennai,Debit,0
349,2663,82284,9,Bangalore,Credit,0
350,3598,15173,4,Hyderabad,Debit,0
351,3385,25666,12,Bangalore,Credit,0
352,3919,11232,11,Chennai,Debit,0
353,1640,90419,9,Delhi,Credit,0
354,2802,98928,6,Mumbai,Credit,0
355,3520,62063,18,Mumbai,Debit,0
356,2969,31381,18,Chennai,Debit,0
357,3198,46148,18,Chennai,Credit,0
358,2438,26178,11,Hyderabad,Credit,0
359,4369,31606,19,Bangalore,Debit,0
360,2634,87555,21,Hyderabad,Credit,0
361,1262,21926,14,Mumbai,Credit,0
362,2787,8999,4,Bangalore,Debit,0
363,3191,52012,23,Hyderabad,Debit,0
364,3393,90104,13,Mumbai,Credit,0
365,1623,71256,11,Bangalore,Debit,0
366,2016,24149,20,Delhi,Credit,0
367,4643,12766,10,Delhi,Credit,0
368,1880,52661,4,Hyderabad,Debit,0
369,3049,38935,15,Chennai,Credit,0
370,3944,53194,17,Bangalore,Credit,1
371,2327,65270,11,Hyderabad,Credit,0
372,3301,7887,4,Chennai,Credit,0
373,4723,49405,15,Chennai,Credit,0
374,1452,47349,11,Bangalore,Debit,0
375,4108,19209,22,Bangalore,Debit,0
376,2183,51062,1,Chennai,Credit,0
377,4062,59355,5,Mumbai,Credit,0
378,3056,87146,22,Hyderabad,Debit,0
379,4304,17156,20,Bangalore,Credit,0
380,4170,58173,3,Chennai,Debit,0
381,2682,8770,12,Mumbai,Debit,0
382,3863,37711,9,Delhi,Debit,0
383,3255,93948,16,Chennai,Credit,0
384,2154,93844,13,Mumbai,Credit,1
385,1403,87368,23,Delhi,Credit,0
386,3199,21170,14,Mumbai,Credit,0
387,3101,19840,7,Bangalore,Debit,0
388,4191,58705,22,Chennai,Credit,0
389,2696,59693,23,Delhi,Credit,0
390,4991,93498,17,Mumbai,Credit,0
391,1627,47424,2,Delhi,Debit,0
392,1586,42957,16,Hyderabad,Credit,0
393,2648,50121,23,Chennai,Debit,0
394,2443,34862,23,Bangalore,Credit,0
395,2445,49620,6,Delhi,Credit,0
396,1103,50951,12,Mumbai,Credit,0
397,4923,60236,15,Delhi,Credit,0
398,1253,50301,4,Mumbai,Credit,0
399,4298,65221,3,Delhi,Debit,0
400,4183,36210,9,Bangalore,Credit,0
401,3557,19206,12,Bangalore,Debit,0
402,2496,76258,9,Chennai,Credit,0
403,1098,80030,13,Bangalore,Credit,0
404,3200,72370,21,Delhi,Debit,0
405,2884,17979,11,Delhi,Credit,0
406,3961,66656,0,Bangalore,Debit,0
407,2919,88492,20,Hyderabad,Debit,0
408,1877,62609,19,Delhi,Credit,0
409,1337,54255,19,Chennai,Credit,0
410,4777,68525,6,Hyderabad,Credit,0
411,3869,64391,8,Bangalore,Credit,0
412,4234,95427,7,Mumbai,Credit,0
413,4791,42913,12,Delhi,Debit,0
414,1956,81887,13,Mumbai,Debit,0
415,2704,65489,11,Chennai,Credit,0
416,1160,7244,7,Hyderabad,Credit,1
417,2603,71437,20,Mumbai,Debit,0
418,3848,81964,21,Chennai,Debit,1
419,1397,66264,17,Mumbai,Debit,0
420,2300,96226,15,Mumbai,Credit,0
421,1815,99342,10,Chennai,Credit,0
422,4987,29827,15,Delhi,Debit,0
423,2527,26233,13,Mumbai,Debit,1
424,2919,27495,2,Chennai,Credit,1
425,2415,67088,20,Mumbai,Debit,0
426,2158,87251,1,Delhi,Credit,1
427,2218,16248,2,Chennai,Debit,0
428,1400,21461,3,Mumbai,Credit,0
429,1639,50627,21,Bangalore,Debit,0
430,4104,15917,4,Delhi,Debit,0
431,3735,62551,9,Mumbai,Debit,0
432,1459,14316,19,Hyderabad,Debit,0
433,1954,39472,1,Chennai,Credit,0
434,4954,35258,11,Mumbai,Debit,0
435,1469,31263,4,Delhi,Credit,0
436,4446,7417,4,Delhi,Debit,0
437,2045,79076,22,Hyderabad,Debit,0
438,3797,35412,0,Hyderabad,Credit,0
439,2693,51638,3,Mumbai,Debit,0
440,3085,38335,20,Bangalore,Debit,0
441,3277,74805,23,Delhi,Credit,0
442,4436,71896,11,Bangalore,Debit,0
443,1562,36357,11,Bangalore,Debit,0
444,3485,95217,15,Mumbai,Debit,0
445,2799,80330,23,Chennai,Credit,0
446,4354,19917,16,Chennai,Debit,0
447,3074,56573,20,Chennai,Credit,0
448,1225,84211,9,Hyderabad,Credit,0
449,4348,6428,16,Delhi,Credit,0
450,1797,84735,16,Hyderabad,Credit,0
451,4680,77008,17,Delhi,Debit,0
452,3331,27976,1,Delhi,Debit,0
453,3926,98757,3,Delhi,Credit,0
454,1959,13230,18,Mumbai,Debit,1
455,2504,92887,10,Chennai,Debit,0
456,1452,36981,16,Hyderabad,Debit,0
457,4067,24064,11,Hyderabad,Debit,0
458,4900,96522,1,Mumbai,Debit,0
459,1815,79922,5,Delhi,Debit,0
460,1658,58552,8,Chennai,Credit,0
461,4587,87786,4,Bangalore,Debit,0
462,1546,5520,19,Bangalore,Credit,0
463,2215,96445,20,Mumbai,Debit,0
464,4120,15003,8,Chennai,Credit,0
465,4583,38557,22,Bangalore,Debit,0
466,1016,93019,7,Bangalore,Credit,0
467,4243,91543,19,Hyderabad,Credit,0
468,2243,6573,7,Chennai,Debit,0
469,3205,86973,21,Bangalore,Debit,0
470,3524,57240,20,Hyderabad,Credit,0
471,2069,47811,22,Chennai,Debit,0
472,4444,31219,5,Delhi,Debit,0
473,3565,45691,2,Chennai,Debit,0
474,3146,23040,4,Mumbai,Debit,0
475,4963,29711,8,Hyderabad,Credit,0
476,2768,13469,6,Delhi,Debit,0
477,2060,14507,3,Hyderabad,Debit,1
478,3327,67650,6,Hyderabad,Debit,0
479,4420,76152,4,Bangalore,Debit,0
480,3544,33135,10,Chennai,Credit,0
481,1301,97114,14,Hyderabad,Debit,0
482,1180,50704,1,Hyderabad,Debit,1
483,1606,6180,12,Mumbai,Debit,0
484,4170,2092,21,Mumbai,Credit,0
485,1699,70184,15,Mumbai,Debit,1
486,1992,43032,6,Hyderabad,Credit,0
487,2139,98472,7,Delhi,Debit,0
488,1190,65235,5,Chennai,Debit,0
489,3300,33527,23,Hyderabad,Credit,0
490,1980,52759,6,Bangalore,Credit,0
491,3975,28766,17,Delhi,Debit,0
492,3006,78187,21,Delhi,Debit,0
493,2184,36068,21,Chennai,Debit,0
494,4327,8111,19,Delhi,Debit,0
495,4394,8659,6,Chennai,Debit,0
496,1127,35421,2,Delhi,Credit,0
497,3065,83071,4,Chennai,Debit,0
498,2816,20855,0,Mumbai,Credit,1
499,2758,7907,14,Mumbai,Credit,0
500,3613,11670,2,Delhi,Debit,0
501,1569,8227,7,Delhi,Debit,0
502,2346,30161,8,Chennai,Credit,0
503,2895,88628,14,Chennai,Credit,0
504,3733,84231,9,Hyderabad,Debit,0
505,4863,89991,1,Mumbai,Credit,0
506,1625,11876,19,Hyderabad,Credit,0
507,4359,13940,4,Hyderabad,Credit,0
508,3901,82478,18,Bangalore,Debit,0
509,2686,58081,12,Chennai,Debit,0
510,4009,75070,10,Bangalore,Credit,0
511,4710,5545,0,Bangalore,Credit,0
512,1154,28531,21,Hyderabad,Debit,0
513,3537,11317,14,Bangalore,Debit,0
514,2409,6793,17,Chennai,Credit,0
515,1784,54850,15,Hyderabad,Debit,0
516,4175,48823,8,Chennai,Debit,0
517,4464,57092,0,Delhi,Debit,0
518,4882,49526,10,Bangalore,Debit,0
519,1245,92155,8,Hyderabad,Debit,0
520,4247,28602,22,Mumbai,Credit,0
521,4110,65292,10,Chennai,Credit,0
522,2500,45822,12,Bangalore,Debit,0
523,2705,43780,1,Chennai,Debit,0
524,3806,28998,13,Chennai,Debit,0
525,1537,76361,5,Delhi,Debit,0
526,2890,69143,7,Chennai,Credit,0
527,2841,69173,17,Delhi,Credit,0
528,1920,16585,15,Delhi,Debit,0
529,3455,66540,20,Delhi,Debit,0
530,1524,46612,11,Bangalore,Debit,0
531,3875,89130,10,Chennai,Debit,0
532,2529,58585,5,Chennai,Debit,0
533,3950,99041,2,Delhi,Credit,0
534,4896,41319,13,Chennai,Credit,1
535,1035,80724,1,Chennai,Debit,0
536,1684,42512,10,Delhi,Debit,0
537,1019,3177,21,Mumbai,Credit,1
538,3368,23197,2,Mumbai,Credit,0
539,4847,45578,17,Delhi,Credit,0
540,3559,77145,0,Bangalore,Debit,0
541,1399,68981,23,Chennai,Credit,0
542,3701,90975,0,Chennai,Debit,0
543,1971,66431,11,Mumbai,Debit,0
544,2906,99518,14,Delhi,Credit,0
545,3518,63799,4,Bangalore,Debit,0
546,2166,38722,5,Delhi,Credit,0
547,2115,13781,15,Mumbai,Debit,0
548,4425,54562,11,Mumbai,Credit,0
549,1833,98708,11,Chennai,Credit,0
550,2823,51074,2,Hyderabad,Credit,0
551,3774,3882,22,Bangalore,Credit,0
552,2982,32382,1,Bangalore,Debit,0
553,1853,12517,6,Hyderabad,Credit,0
554,1050,41075,1,Mumbai,Credit,0
555,4736,13157,20,Delhi,Credit,0
556,4769,78044,6,Bangalore,Credit,0
557,1574,94252,10,Hyderabad,Debit,0
558,4261,43531,10,Chennai,Credit,0
559,2148,2631,13,Chennai,Debit,0
560,3197,75168,2,Mumbai,Debit,0
561,3361,51688,13,Bangalore,Debit,0
562,3617,8468,10,Delhi,Credit,0
563,4413,93677,3,Bangalore,Debit,0
564,3352,29163,16,Chennai,Credit,0
565,2715,84413,15,Bangalore,Credit,0
566,1681,63094,2,Chennai,Credit,1
567,1837,80005,9,Hyderabad,Debit,0
568,4854,61080,20,Hyderabad,Credit,0
569,2077,11864,14,Chennai,Debit,0
570,4050,99390,7,Delhi,Debit,0
571,3491,10074,17,Delhi,Debit,0
572,3660,63338,2,Bangalore,Debit,0
573,4040,57886,6,Chennai,Credit,0
574,3311,7485,9,Mumbai,Credit,0
575,4124,67134,19,Delhi,Credit,0
576,2595,70651,8,Delhi,Credit,0
577,4051,88466,13,Hyderabad,Credit,0
578,4691,3457,22,Delhi,Debit,0
579,1004,98993,13,Delhi,Debit,0
580,2126,32990,10,Delhi,Debit,0
581,2219,5716,0,Chennai,Credit,0
582,1773,37172,3,Chennai,Debit,0
583,1876,25142,5,Hyderabad,Credit,0
584,1991,75695,21,Bangalore,Debit,0
585,3931,26555,21,Delhi,Debit,0
586,4421,36763,4,Bangalore,Debit,0
587,1046,54437,2,Chennai,Credit,0
588,3914,43219,1,Delhi,Credit,0
589,3870,73332,2,Bangalore,Credit,0
590,3983,77561,8,Bangalore,Credit,0
591,4891,51792,18,Mumbai,Debit,0
592,3703,40572,18,Chennai,Credit,0
593,1268,81182,16,Hyderabad,Credit,0
594,1369,99447,17,Hyderabad,Debit,0
595,1635,3930,10,Mumbai,Debit,0
596,2129,43504,11,Bangalore,Debit,0
597,2693,55761,2,Mumbai,Credit,0
598,2682,43589,17,Mumbai,Debit,0
599,1656,68371,23,Chennai,Debit,0
600,1119,88035,5,Delhi,Credit,1
601,1830,14849,6,Bangalore,Debit,0
602,2810,60152,0,Hyderabad,Credit,0
603,4675,50776,5,Hyderabad,Credit,0
604,2081,48834,17,Mumbai,Credit,0
605,2974,43383,12,Mumbai,Debit,0
606,2369,40878,21,Mumbai,Debit,0
607,1740,69576,18,Bangalore,Debit,0
608,4545,54412,6,Mumbai,Credit,0
609,1116,54047,18,Mumbai,Debit,0
610,2853,50391,8,Delhi,Credit,0
611,3838,19123,2,Bangalore,Debit,0
612,2150,14599,22,Chennai,Credit,0
613,4464,83845,11,Chennai,Credit,0
614,2931,56970,19,Delhi,Credit,0
615,2012,85376,23,Hyderabad,Credit,0
616,2664,75565,17,Chennai,Credit,0
617,2081,20366,7,Bangalore,Credit,0
618,1633,26233,8,Hyderabad,Credit,0
619,1512,93910,12,Mumbai,Credit,0
620,4822,24674,7,Bangalore,Credit,0
621,3849,62565,21,Hyderabad,Credit,0
622,2119,85831,9,Chennai,Credit,0
623,4709,46755,16,Mumbai,Credit,0
624,2141,89376,6,Mumbai,Debit,0
625,1559,26806,16,Bangalore,Debit,0
626,4672,60440,22,Mumbai,Credit,0
627,1487,68419,17,Hyderabad,Debit,0
628,4308,70871,23,Delhi,Credit,0
629,4956,9639,1,Chennai,Debit,0
630,1896,14166,2,Bangalore,Credit,0
631,4343,73231,18,Delhi,Debit,0
632,2212,44836,0,Delhi,Credit,1
633,1703,94736,20,Bangalore,Debit,0
634,2470,76475,20,Hyderabad,Credit,0
635,1580,30336,9,Chennai,Debit,0
636,3837,16044,20,Bangalore,Debit,0
637,3908,90248,13,Delhi,Debit,0
638,3294,26689,12,Delhi,Credit,0
639,4147,17255,8,Bangalore,Debit,0
